ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0001659	temperature homeostasis	25/305	186/18860	0.13440860215053763	8.311299136259475	12.847277902726255	3.9042528572672206e-16	1.591763889907846e-12	1.1470283920666118e-12	3952/9370/2167/50486/857/948/7852/9444/33/5733/2180/1149/2034/23228/4883/2308/2171/6597/7030/10400/1910/216/4857/18/2876	25
GO:0120161	regulation of cold-induced thermogenesis	20/305	151/18860	0.13245033112582782	8.190207360764305	11.373218218733294	4.993147045641628e-13	7.417157682088608e-10	5.344819356520998e-10	3952/9370/2167/50486/857/948/7852/9444/33/2180/1149/2034/23228/4883/2171/6597/7030/10400/216/4857	20
GO:1990845	adaptive thermogenesis	21/305	171/18860	0.12280701754385964	7.593902789761287	11.10519871239496	5.831882764529537e-13	7.417157682088608e-10	5.344819356520998e-10	3952/9370/6285/2167/50486/857/948/7852/9444/33/2180/1149/2034/23228/4883/2171/6597/7030/10400/216/4857	21
GO:0106106	cold-induced thermogenesis	20/305	154/18860	0.12987012987012986	8.030657866723441	11.231677641583287	7.277074007445286e-13	7.417157682088608e-10	5.344819356520998e-10	3952/9370/2167/50486/857/948/7852/9444/33/2180/1149/2034/23228/4883/2171/6597/7030/10400/216/4857	20
GO:0003018	vascular process in circulatory system	22/305	283/18860	0.07773851590106007	4.8070439668655505	8.273172700822094	1.3831266154897669e-9	1.127801442270356e-6	8.126960808067241e-7	3952/81539/3043/857/5138/948/79987/9590/10979/284/9270/477/81031/1003/2171/6507/7122/5781/1910/3672/10365/2876	22
GO:0010038	response to metal ion	24/305	351/18860	0.06837606837606838	4.228107047779179	7.826881869651271	3.1735399396329224e-9	2.1564203889805707e-6	1.5539210476342958e-6	999/7018/2167/857/8644/2354/7020/4501/288/847/9456/477/3725/360/4891/5111/5176/1050/983/1843/2353/10628/18/3184	24
GO:0032868	response to insulin	21/305	280/18860	0.075	4.637704918032787	7.862531504722651	6.2646279315052985e-9	3.6486982966781575e-6	2.629259632606209e-6	5950/5140/10580/5468/3952/9370/5105/858/5919/2690/79746/55022/847/23433/5584/23235/2308/3479/5781/2353/761	21
GO:0043434	response to peptide hormone	27/305	461/18860	0.05856832971800434	3.6216350769887273	7.306415446287256	9.030122186984159e-9	4.601976019541802e-6	3.3161935557727347e-6	5950/5140/10580/5468/3952/9370/5105/857/858/5919/2690/7049/79746/55022/847/23433/5584/23235/2308/3479/9314/5781/2353/1910/2770/10365/761	27
GO:0120162	positive regulation of cold-induced thermogenesis	13/305	102/18860	0.12745098039215685	7.881067180970748	8.933906206177662	1.0342313043357939e-8	4.685067808641146e-6	3.37606967298386e-6	3952/9370/2167/50486/857/948/7852/33/2180/2034/2171/6597/10400	13
GO:0032869	cellular response to insulin stimulus	18/305	219/18860	0.0821917808219178	5.0824163485290805	7.790826257446971	1.9025284230271864e-8	7.073071368946179e-6	5.096870038787237e-6	5140/10580/5468/3952/9370/5105/858/5919/2690/79746/55022/23433/5584/23235/2308/3479/5781/761	18
GO:0042063	gliogenesis	23/305	357/18860	0.06442577030812324	3.983836157413785	7.297376882847397	2.081845877541186e-8	7.073071368946179e-6	5.096870038787237e-6	274/6285/1031/10810/7852/9444/6659/5209/2146/928/8613/1191/3418/5584/3479/1464/2247/983/4602/4915/5781/7431/4192	23
GO:0070482	response to oxygen levels	23/305	357/18860	0.06442577030812324	3.983836157413785	7.297376882847397	2.081845877541186e-8	7.073071368946179e-6	5.096870038787237e-6	100133941/51129/5468/3952/9370/6285/28984/857/7852/481/7049/2034/847/360/2308/4891/9550/10449/4602/28996/2353/18/761	23
GO:0097305	response to alcohol	20/305	280/18860	0.07142857142857142	4.416861826697892	7.385201484188725	3.2876013919973876e-8	1.0310423750133347e-5	7.429712943372233e-6	5950/3952/999/2625/9370/6285/8644/2354/2690/6586/7049/847/2247/7122/983/2353/2770/18/3184/761	20
GO:0006066	alcohol metabolic process	23/305	368/18860	0.0625	3.8647540983606556	7.115379806999385	3.644920439571879e-8	1.061452902295325e-5	7.648851839733168e-6	5950/3952/125/1645/5105/8644/54884/9444/33/3705/847/8613/3418/3479/217/10449/1050/5321/3156/1910/2770/8612/216	23
GO:0071375	cellular response to peptide hormone stimulus	22/305	345/18860	0.06376811594202898	3.9431693989071035	7.073619898776384	5.113126350712186e-8	1.3838290013005226e-5	9.971900759407093e-6	5140/10580/5468/3952/9370/5105/857/858/5919/2690/79746/55022/23433/5584/23235/2308/3479/9314/5781/2353/10365/761	22
GO:0001666	response to hypoxia	21/305	317/18860	0.06624605678233439	4.096395511196152	7.128117200121181	5.430773613148972e-8	1.3838290013005226e-5	9.971900759407093e-6	100133941/51129/5468/3952/9370/6285/28984/857/7852/481/7049/2034/847/360/4891/10449/4602/28996/2353/18/761	21
GO:0006631	fatty acid metabolic process	24/305	421/18860	0.057007125890736345	3.5250963747517625	6.717831318703607	1.0331212091491793e-7	2.4330468792526546e-5	1.7532586757533685e-5	51129/32/5468/3952/4023/9370/1645/5105/54988/857/8644/948/9444/33/2180/79746/5577/2109/10449/2171/5321/2879/65084/2876	24
GO:0036293	response to decreased oxygen levels	21/305	330/18860	0.06363636363636363	3.9350223546944854	6.896193586427341	1.0741928826722537e-7	2.4330468792526546e-5	1.7532586757533685e-5	100133941/51129/5468/3952/9370/6285/28984/857/7852/481/7049/2034/847/360/4891/10449/4602/28996/2353/18/761	21
GO:0045471	response to ethanol	13/305	128/18860	0.1015625	6.280225409836065	7.68500480845857	1.6081758725253087e-7	3.450806859097728e-5	2.4866586483202974e-5	5950/3952/2625/9370/6285/2354/847/2247/7122/983/2353/18/761	13
GO:0048545	response to steroid hormone	21/305	343/18860	0.061224489795918366	3.7858815657410507	6.675797690416356	2.0521921485461028e-7	4.183393694811231e-5	3.0145622561011437e-5	9370/6285/5105/857/8644/2354/2690/6586/477/2288/3725/3479/5111/5176/1050/6597/1843/2353/10628/4250/4192	21
GO:1901654	response to ketone	17/305	232/18860	0.07327586206896551	4.531091011871113	6.938227880680967	2.503781970522427e-7	4.8465791560549486e-5	3.4924550881193235e-5	5105/857/8644/2354/2690/6586/7049/3206/5111/5176/1050/2247/1843/2353/2770/10628/3184	17
GO:1902895	positive regulation of miRNA transcription	9/305	56/18860	0.16071428571428573	9.937939110070259	8.587861949880994	2.615274501673016e-7	4.8465791560549486e-5	3.4924550881193235e-5	5468/2625/3725/9314/6597/2247/4602/1956/2353	9
GO:0010001	glial cell differentiation	18/305	263/18860	0.06844106463878327	4.232126160942467	6.767425815424621	3.0623478194194727e-7	5.428344373814431e-5	3.91167632219668e-5	274/6285/1031/10810/7852/9444/6659/5209/928/8613/1191/3479/2247/983/4915/5781/7431/4192	18
GO:0006979	response to oxidative stress	23/305	418/18860	0.05502392344497608	3.4024629382696685	6.368242596179394	3.5927003086278296e-7	6.1030996492815256e-5	4.397906386570294e-5	9370/3043/2878/948/2146/2034/847/2308/4891/7837/9314/5111/983/4602/2879/22921/11030/1843/2353/10628/10365/761/2876	23
GO:0048732	gland development	24/305	454/18860	0.05286343612334802	3.268866902578176	6.273877114724788	4.108408210617934e-7	6.699992109875727e-5	4.828028343509328e-5	999/2625/5105/857/1028/7049/2146/2288/3725/4487/3479/3206/5111/5176/1050/2247/4602/28996/1956/6790/4192/3184/761/2876	24
GO:0001654	eye development	23/305	432/18860	0.05324074074074074	3.2921979356405586	6.179220021461595	6.380114359883424e-7	1.0004510094324894e-4	7.209270922443172e-5	5950/8736/2625/1028/91851/6659/8076/7020/2202/3985/3725/5584/7837/9314/5176/6597/2247/28996/4915/1956/2353/7431/65084	23
GO:0070542	response to fatty acid	9/305	63/18860	0.14285714285714285	8.833723653395785	7.984965088592209	7.399397726038087e-7	1.0894448703997826e-4	7.85056254801852e-5	4023/9370/1645/8644/948/2180/55022/847/2308	9
