ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
205478_at	1.25e-14	5.61e-19	11.2304791	32.47049	3.21467939	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
219140_s_at	2.63e-14	2.36e-18	10.9317331	31.09247	4.10827509	RBP4	retinol binding protein 4
266_s_at	3.49e-14	4.70e-18	-10.788316	30.42855	-3.96259423	CD24	CD24 molecule
222317_at	7.49e-14	1.35e-17	10.570554	29.41782	3.77298061	PDE3B	phosphodiesterase 3B
201650_at	1.40e-13	3.14e-17	-10.3951925	28.60178	-4.74241108	KRT19	keratin 19
201839_s_at	1.81e-13	4.88e-17	-10.3040252	28.17688	-2.3921644	EPCAM	epithelial cell adhesion molecule
210964_s_at	4.16e-13	1.31e-16	10.1011967	27.23011	2.30772501	GYG2	glycogenin 2
221009_s_at	5.34e-13	1.92e-16	10.0220778	26.86033	2.14139985	ANGPTL4	angiopoietin like 4
219295_s_at	8.91e-13	3.60e-16	9.8923252	26.25339	2.55301846	PCOLCE2	procollagen C-endopeptidase enhancer 2
43427_at	2.20e-12	9.86e-16	9.6849927	25.28252	3.01763108	ACACB	acetyl-CoA carboxylase beta
202286_s_at	2.78e-12	1.44e-15	-9.6067209	24.91574	-2.65559898	TACSTD2	tumor-associated calcium signal transducer 2
205220_at	2.78e-12	1.50e-15	9.599327	24.88108	1.62550994	HCAR3	hydroxycarboxylic acid receptor 3
212741_at	4.41e-12	2.58e-15	9.4874996	24.35688	2.70914504	MAOA	monoamine oxidase A
205610_at	8.95e-12	5.62e-15	9.3269089	23.60388	1.66852499	MYOM1	myomesin 1
214456_x_at	1.04e-11	7.42e-15	9.2697812	23.33599	3.47344892	SAA2///SAA1	serum amyloid A2///serum amyloid A1
202988_s_at	1.04e-11	7.55e-15	-9.2664456	23.32035	-2.34231226	RGS1	regulator of G-protein signaling 1
204388_s_at	1.04e-11	7.96e-15	9.2553478	23.26831	2.03442884	MAOA	monoamine oxidase A
218087_s_at	1.15e-11	9.56e-15	9.2178413	23.09243	3.12302957	SORBS1	sorbin and SH3 domain containing 1
210298_x_at	1.15e-11	9.82e-15	9.2122273	23.06611	1.96987452	FHL1	four and a half LIM domains 1
209771_x_at	1.38e-11	1.24e-14	-9.1646381	22.84296	-1.84986327	CD24	CD24 molecule
219398_at	1.40e-11	1.32e-14	9.1520077	22.78374	1.41702724	CIDEC	cell death inducing DFFA like effector c
218168_s_at	1.96e-11	1.99e-14	9.0667428	22.384	1.99359477	COQ8A	coenzyme Q8A
208510_s_at	1.96e-11	2.02e-14	9.0634962	22.36878	1.99448095	PPARG	peroxisome proliferator activated receptor gamma
49452_at	2.18e-11	2.41e-14	9.0278729	22.2018	2.13395799	ACACB	acetyl-CoA carboxylase beta
207092_at	2.18e-11	2.45e-14	9.0245313	22.18614	3.04434559	LEP	leptin
205382_s_at	2.30e-11	2.68e-14	9.005484	22.09687	3.43998034	CFD	complement factor D
215695_s_at	2.56e-11	3.22e-14	8.9681765	21.92203	2.42769807	GYG2	glycogenin 2
201286_at	2.56e-11	3.22e-14	-8.9678742	21.92062	-2.04802229	SDC1	syndecan 1
218237_s_at	2.72e-11	3.60e-14	-8.9448994	21.81296	-1.80175074	SLC38A1	solute carrier family 38 member 1
201131_s_at	2.72e-11	3.68e-14	-8.9403667	21.79172	-2.38607802	CDH1	cadherin 1
219737_s_at	2.72e-11	3.78e-14	8.9348199	21.76573	1.76678567	PCDH9	protocadherin 9
219738_s_at	2.77e-11	3.98e-14	8.9242632	21.71627	1.89809132	PCDH9	protocadherin 9
214414_x_at	2.92e-11	4.33e-14	8.9070559	21.63566	2.02472998	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
203548_s_at	3.43e-11	5.24e-14	8.867723	21.45142	3.07346181	LPL	lipoprotein lipase
205913_at	3.64e-11	5.72e-14	8.8496195	21.36663	2.51232261	PLIN1	perilipin 1
204997_at	5.39e-11	8.87e-14	8.7590152	20.94244	2.33810965	GPD1	glycerol-3-phosphate dehydrogenase 1
221928_at	5.39e-11	8.95e-14	8.7572588	20.93422	1.90503743	ACACB	acetyl-CoA carboxylase beta
206243_at	1.08e-10	1.87e-13	8.6054114	20.22396	2.42038843	TIMP4	TIMP metallopeptidase inhibitor 4
209699_x_at	1.08e-10	1.89e-13	8.6026585	20.21109	2.65044273	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2
201596_x_at	1.24e-10	2.23e-13	-8.5691457	20.05447	-2.62555163	KRT18	keratin 18
203571_s_at	1.26e-10	2.33e-13	8.5602616	20.01296	2.64308069	ADIRF	adipogenesis regulatory factor
209602_s_at	1.68e-10	3.16e-13	-8.4966342	19.71578	-2.90688278	GATA3	GATA binding protein 3
219064_at	1.72e-10	3.33e-13	8.48625	19.6673	1.58240893	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
213071_at	1.93e-10	3.81e-13	8.4583532	19.53708	2.85816057	DPT	dermatopontin
207175_at	2.03e-10	4.09e-13	8.4435491	19.468	1.97252591	ADIPOQ	adiponectin, C1Q and collagen domain containing
216331_at	2.24e-10	4.61e-13	8.4186028	19.35161	1.70148194	ITGA7	integrin subunit alpha 7
214063_s_at	2.43e-10	5.13e-13	8.396684	19.24938	2.64776647	TF	transferrin
210201_x_at	2.51e-10	5.43e-13	8.3848446	19.19417	1.44481219	BIN1	bridging integrator 1
213068_at	2.51e-10	5.52e-13	8.3814347	19.17827	2.47270352	DPT	dermatopontin
213693_s_at	4.57e-10	1.03e-12	-8.2529963	18.57995	-2.34625249	MUC1	mucin 1, cell surface associated
204570_at	5.04e-10	1.15e-12	8.2287044	18.46692	2.39471663	COX7A1	cytochrome c oxidase subunit 7A1
209614_at	5.47e-10	1.28e-12	8.2066521	18.36434	1.82112213	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
216379_x_at	5.47e-10	1.30e-12	-8.2038815	18.35146	-1.40821594	CD24	CD24 molecule
209686_at	5.47e-10	1.33e-12	8.1997832	18.3324	1.57991763	S100B	S100 calcium binding protein B
209581_at	7.32e-10	1.81e-12	8.1354955	18.03361	2.0558238	PLA2G16	phospholipase A2 group XVI
203980_at	1.35e-09	3.38e-12	8.0052141	17.42913	1.92471592	FABP4	fatty acid binding protein 4
204151_x_at	1.39e-09	3.57e-12	7.9939672	17.37702	1.79983365	AKR1C1	aldo-keto reductase family 1 member C1
204894_s_at	1.39e-09	3.63e-12	7.990616	17.36149	1.84127585	AOC3	amine oxidase, copper containing 3
203549_s_at	1.56e-09	4.13e-12	7.9634983	17.2359	1.34087856	LPL	lipoprotein lipase
209493_at	1.63e-09	4.40e-12	7.9505638	17.17601	1.53579192	PDZD2	PDZ domain containing 2
213524_s_at	1.84e-09	5.03e-12	7.9223558	17.04548	1.5082987	G0S2	G0/G1 switch 2
202931_x_at	1.89e-09	5.27e-12	7.9128996	17.00173	1.53568363	BIN1	bridging integrator 1
209183_s_at	1.90e-09	5.37e-12	7.9086674	16.98216	2.02396982	C10orf10	chromosome 10 open reading frame 10
211653_x_at	1.94e-09	5.57e-12	7.9012291	16.94776	2.5669831	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2
204223_at	2.19e-09	6.38e-12	7.8727098	16.81592	1.69945678	PRELP	proline and arginine rich end leucine rich repeat protein
209116_x_at	2.34e-09	6.94e-12	7.8552907	16.73544	3.27631228	HBB	hemoglobin subunit beta
213706_at	2.77e-09	8.32e-12	7.8174843	16.56086	2.22402914	GPD1	glycerol-3-phosphate dehydrogenase 1
205824_at	2.83e-09	8.63e-12	7.8097062	16.52497	1.2513802	HSPB2	heat shock protein family B (small) member 2
204719_at	2.96e-09	9.16e-12	7.7972704	16.46759	2.71123318	ABCA8	ATP binding cassette subfamily A member 8
214505_s_at	3.05e-09	9.59e-12	7.7877096	16.42348	1.79695754	FHL1	four and a half LIM domains 1
208383_s_at	3.16e-09	1.01e-11	7.7777482	16.37754	2.69788651	PCK1	phosphoenolpyruvate carboxykinase 1
209016_s_at	3.64e-09	1.18e-11	-7.7450094	16.22664	-2.89709615	KRT7	keratin 7
204159_at	3.91e-09	1.29e-11	7.7248591	16.13381	2.01141662	CDKN2C	cyclin dependent kinase inhibitor 2C
220061_at	3.91e-09	1.30e-11	7.7235077	16.12759	1.62192155	ACSM5	acyl-CoA synthetase medium-chain family member 5
211745_x_at	3.91e-09	1.32e-11	7.7210849	16.11643	2.66346407	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
218723_s_at	3.91e-09	1.33e-11	7.7184433	16.10427	1.41766891	RGCC	regulator of cell cycle
58780_s_at	4.49e-09	1.55e-11	7.6868307	15.95877	1.84844709	ARHGEF40	Rho guanine nucleotide exchange factor 40
218736_s_at	4.74e-09	1.66e-11	7.6730082	15.89518	1.89370465	PALMD	palmdelphin
212112_s_at	5.10e-09	1.81e-11	7.654671	15.81086	1.24140538	STX12	syntaxin 12
203065_s_at	5.56e-09	2.00e-11	7.6340469	15.71608	2.18509797	CAV1	caveolin 1
216594_x_at	5.67e-09	2.06e-11	7.6271964	15.68461	1.51452843	AKR1C1	aldo-keto reductase family 1 member C1
204134_at	5.89e-09	2.17e-11	7.6168229	15.63696	1.25392209	PDE2A	phosphodiesterase 2A
221748_s_at	8.66e-09	3.22e-11	7.5331652	15.25322	1.2123099	TNS1	tensin 1
211696_x_at	9.02e-09	3.40e-11	7.5220315	15.20222	1.63781294	HBB	hemoglobin subunit beta
201348_at	9.36e-09	3.57e-11	7.5117793	15.15527	1.43566545	GPX3	glutathione peroxidase 3
209160_at	1.02e-08	3.94e-11	7.4910353	15.06031	2.69993553	AKR1C3	aldo-keto reductase family 1, member C3
203323_at	1.02e-08	3.99e-11	7.4884928	15.04868	1.29850495	CAV2	caveolin 2
209555_s_at	1.04e-08	4.12e-11	7.4817244	15.01771	2.42823655	CD36	CD36 molecule
202768_at	1.11e-08	4.45e-11	7.465399	14.94305	2.1149343	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
203853_s_at	1.29e-08	5.19e-11	7.4326697	14.79347	1.04509605	GAB2	GRB2 associated binding protein 2
221747_at	1.46e-08	5.96e-11	7.4037633	14.66149	1.33366216	TNS1	tensin 1
209612_s_at	1.60e-08	6.61e-11	7.3817363	14.561	1.96858444	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
217414_x_at	1.60e-08	6.70e-11	7.3788281	14.54774	1.81535668	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
209298_s_at	1.60e-08	6.77e-11	7.3767965	14.53847	2.43477332	ITSN1	intersectin 1
222351_at	1.64e-08	7.00e-11	7.3695511	14.50544	1.60319514	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta
206488_s_at	1.75e-08	7.53e-11	7.3542353	14.43564	1.67507721	CD36	CD36 molecule
209458_x_at	1.85e-08	8.07e-11	7.3393883	14.368	2.51453174	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
209496_at	1.96e-08	8.60e-11	7.3260011	14.30705	2.17977175	RARRES2	retinoic acid receptor responder 2
212886_at	2.01e-08	8.92e-11	7.3181659	14.27139	2.33409375	CCDC69	coiled-coil domain containing 69
218186_at	2.03e-08	9.11e-11	-7.313772	14.25139	-1.89628456	RAB25	RAB25, member RAS oncogene family
205498_at	2.07e-08	9.39e-11	7.3072913	14.22191	1.07659658	GHR	growth hormone receptor
201690_s_at	2.22e-08	1.02e-10	-7.2904417	14.14527	-1.23200625	TPD52	tumor protein D52
212281_s_at	2.71e-08	1.25e-10	-7.2463362	13.94489	-2.31024706	TMEM97	transmembrane protein 97
203917_at	3.08e-08	1.44e-10	-7.2170117	13.81184	-1.40996535	CXADR	coxsackie virus and adenovirus receptor
209512_at	3.30e-08	1.55e-10	7.2003246	13.73618	1.48457284	HSDL2	hydroxysteroid dehydrogenase like 2
204042_at	3.84e-08	1.83e-10	7.1659344	13.58042	1.00376394	WASF3	WAS protein family member 3
210715_s_at	3.92e-08	1.88e-10	-7.1597382	13.55237	-1.51078644	SPINT2	serine peptidase inhibitor, Kunitz type 2
200606_at	4.08e-08	1.98e-10	-7.1491204	13.50433	-0.97351016	DSP	desmoplakin
213005_s_at	4.53e-08	2.21e-10	7.1249762	13.39516	0.97393689	KANK1	KN motif and ankyrin repeat domains 1
209616_s_at	4.76e-08	2.35e-10	7.1125153	13.33886	1.61166714	LOC100653057///CES1	liver carboxylesterase 1-like///carboxylesterase 1
210078_s_at	4.92e-08	2.45e-10	7.1034537	13.29793	1.26575668	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
216894_x_at	5.47e-08	2.75e-10	7.0789327	13.18725	1.42525154	CDKN1C	cyclin dependent kinase inhibitor 1C
203812_at	6.36e-08	3.22e-10	7.0447475	13.03312	1.04519799	SLIT3	slit guidance ligand 3
217232_x_at	6.68e-08	3.42e-10	7.0323255	12.97717	1.77930617	HBB	hemoglobin subunit beta
206030_at	6.74e-08	3.48e-10	7.0286116	12.96045	1.72510619	ASPA	aspartoacylase
203414_at	7.38e-08	3.84e-10	7.0070758	12.86353	1.03611661	MMD	monocyte to macrophage differentiation associated
213348_at	7.91e-08	4.16e-10	6.990373	12.78841	1.0332384	CDKN1C	cyclin dependent kinase inhibitor 1C
33322_i_at	8.01e-08	4.24e-10	-6.985943	12.7685	-0.8507603	SFN	stratifin
214439_x_at	8.38e-08	4.48e-10	6.9743926	12.7166	1.29089786	BIN1	bridging integrator 1
209763_at	9.29e-08	5.00e-10	6.9504834	12.60924	1.09454427	CHRDL1	chordin like 1
37117_at	9.35e-08	5.08e-10	-6.9474687	12.59571	-1.32014516	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8
209613_s_at	1.02e-07	5.56e-10	6.9276952	12.50702	2.28969032	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
218124_at	1.06e-07	5.87e-10	6.9161323	12.45519	1.12650629	RETSAT	retinol saturase
203435_s_at	1.26e-07	7.02e-10	6.877586	12.2826	0.97272553	MME	membrane metallo-endopeptidase
217028_at	1.30e-07	7.27e-10	-6.8701306	12.24925	-1.0562277	CXCR4	C-X-C motif chemokine receptor 4
212636_at	1.31e-07	7.44e-10	6.8652226	12.2273	1.1126803	QKI	QKI, KH domain containing RNA binding
201243_s_at	1.31e-07	7.45e-10	-6.8648171	12.22549	-1.00973569	ATP1B1	ATPase Na+/K+ transporting subunit beta 1
201417_at	1.51e-07	8.68e-10	-6.8319623	12.0787	-2.00172627	SOX4	SRY-box 4
206068_s_at	1.90e-07	1.10e-09	6.7802454	11.84808	1.54393137	ACADL	acyl-CoA dehydrogenase, long chain
213764_s_at	2.06e-07	1.20e-09	6.7613585	11.764	2.7132006	MFAP5	microfibrillar associated protein 5
202890_at	2.06e-07	1.21e-09	-6.760333	11.75944	-1.84666667	MAP7	microtubule associated protein 7
201450_s_at	2.06e-07	1.22e-09	-6.7585884	11.75167	-1.23134247	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
209603_at	2.17e-07	1.29e-09	-6.7457957	11.69477	-1.83917181	GATA3	GATA binding protein 3
201540_at	2.20e-07	1.33e-09	6.740347	11.67055	1.08954127	FHL1	four and a half LIM domains 1
208650_s_at	2.43e-07	1.48e-09	-6.7170452	11.56702	-2.16439495	CD24	CD24 molecule
203215_s_at	2.43e-07	1.48e-09	-6.7159572	11.56219	-1.51087664	MYO6	myosin VI
213486_at	2.60e-07	1.60e-09	6.699774	11.49036	1.15794951	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)
218677_at	2.61e-07	1.62e-09	-6.6969845	11.47798	-1.15518153	S100A14	S100 calcium binding protein A14
213247_at	2.97e-07	1.86e-09	6.6669661	11.34492	1.05187201	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
210517_s_at	2.97e-07	1.87e-09	6.6661679	11.34138	1.46467784	AKAP12	A-kinase anchoring protein 12
200944_s_at	3.09e-07	1.96e-09	-6.655942	11.2961	-0.79427411	LOC101927733///HMGN1	uncharacterized LOC101927733///high mobility group nucleosome binding domain 1
